=== LOG FILE ANALYSIS ===
Total number of requests: 10000
Number of GET requests: 9952
Number of POST requests: 5
Unique IP addresses: 1753
GET and POST count per IP:
180.76.5.69: Total=1, GET=0, POST=0
70.193.72.87: Total=1, GET=0, POST=0
120.59.2.54: Total=6, GET=0, POST=0
157.55.35.114: Total=2, GET=0, POST=0
69.26.164.70: Total=2, GET=0, POST=0
190.239.74.15: Total=1, GET=0, POST=0
50.90.110.61: Total=1, GET=0, POST=0
54.196.174.134: Total=1, GET=0, POST=0
62.210.189.45: Total=1, GET=0, POST=0
199.30.20.8: Total=2, GET=0, POST=0
37.236.9.107: Total=1, GET=0, POST=0
70.109.45.64: Total=6, GET=0, POST=0
180.76.5.27: Total=1, GET=0, POST=0
78.171.202.100: Total=9, GET=0, POST=0
5.10.83.66: Total=1, GET=0, POST=0
157.55.33.15: Total=3, GET=0, POST=0
185.38.249.133: Total=2, GET=0, POST=0
100.2.4.116: Total=6, GET=0, POST=0
180.76.6.146: Total=1, GET=0, POST=0
212.84.56.58: Total=7, GET=0, POST=0
37.137.150.253: Total=1, GET=0, POST=0
130.117.119.80: Total=3, GET=0, POST=0
216.107.155.114: Total=2, GET=0, POST=0
79.35.84.239: Total=6, GET=0, POST=0
193.50.193.83: Total=8, GET=0, POST=0
69.234.185.154: Total=6, GET=0, POST=0
176.31.39.30: Total=2, GET=0, POST=0
194.171.252.104: Total=6, GET=0, POST=0
194.149.247.24: Total=7, GET=0, POST=0
116.212.243.74: Total=1, GET=0, POST=0
180.76.6.54: Total=1, GET=0, POST=0
109.190.148.218: Total=6, GET=0, POST=0
178.255.215.71: Total=17, GET=0, POST=0
193.179.215.103: Total=2, GET=0, POST=0
178.172.239.240: Total=5, GET=0, POST=0
193.173.113.126: Total=1, GET=0, POST=0
118.92.253.144: Total=1, GET=0, POST=0
66.147.242.187: Total=1, GET=0, POST=0
70.182.103.221: Total=6, GET=0, POST=0
83.221.67.237: Total=7, GET=0, POST=0
109.9.166.16: Total=1, GET=0, POST=0
106.51.144.106: Total=10, GET=0, POST=0
180.76.5.116: Total=1, GET=0, POST=0
183.82.101.58: Total=1, GET=0, POST=0
199.47.180.6: Total=2, GET=0, POST=0
83.149.9.216: Total=23, GET=0, POST=0
180.76.6.141: Total=1, GET=0, POST=0
74.125.176.151: Total=8, GET=0, POST=0
87.216.109.88: Total=6, GET=0, POST=0
118.186.69.62: Total=2, GET=0, POST=0
70.127.254.161: Total=6, GET=0, POST=0
192.187.119.210: Total=2, GET=0, POST=0
120.202.255.147: Total=10, GET=0, POST=0
69.171.237.9: Total=1, GET=0, POST=0
79.164.36.106: Total=2, GET=0, POST=0
50.139.66.106: Total=52, GET=0, POST=0
195.37.190.67: Total=1, GET=0, POST=0
180.76.5.214: Total=3, GET=0, POST=0
213.61.156.100: Total=7, GET=0, POST=0
88.234.222.56: Total=1, GET=0, POST=0
93.79.237.62: Total=1, GET=0, POST=0
67.171.28.123: Total=1, GET=0, POST=0
117.244.105.81: Total=1, GET=0, POST=0
202.46.62.20: Total=1, GET=0, POST=0
82.127.237.118: Total=1, GET=0, POST=0
195.188.180.1: Total=1, GET=0, POST=0
116.125.143.84: Total=2, GET=0, POST=0
198.143.156.2: Total=2, GET=0, POST=0
129.10.115.241: Total=1, GET=0, POST=0
54.215.29.126: Total=1, GET=0, POST=0
54.219.196.51: Total=2, GET=0, POST=0
131.253.24.107: Total=1, GET=0, POST=0
212.90.148.107: Total=2, GET=0, POST=0
180.76.6.151: Total=1, GET=0, POST=0
203.81.69.86: Total=1, GET=0, POST=0
66.147.244.126: Total=1, GET=0, POST=0
95.108.158.230: Total=2, GET=0, POST=0
87.6.86.34: Total=6, GET=0, POST=0
180.76.5.119: Total=1, GET=0, POST=0
112.202.18.45: Total=6, GET=0, POST=0
211.9.44.193: Total=6, GET=0, POST=0
157.56.93.40: Total=1, GET=0, POST=0
195.250.34.144: Total=3, GET=0, POST=0
89.44.18.87: Total=2, GET=0, POST=0
176.92.75.62: Total=23, GET=0, POST=0
59.163.27.11: Total=39, GET=0, POST=0
65.55.215.37: Total=4, GET=0, POST=0
177.144.77.89: Total=1, GET=0, POST=0
193.61.104.6: Total=2, GET=0, POST=0
77.175.189.215: Total=6, GET=0, POST=0
12.110.81.190: Total=7, GET=0, POST=0
